,Image Name,Acc,F1,Jaccard,Recall,Precision
0,ISIC_0014600.jpg,0.8432769775390625,0.3650077279752705,0.22324737200332753,1.0,0.22324737200332753
1,ISIC_0000115.jpg,0.952880859375,0.8814132104454684,0.7879703378192804,0.8116557040809109,0.9642887152340139
2,ISIC_0014410.jpg,0.935302734375,0.0,0.0,0.0,0.0
3,ISIC_0012338.jpg,0.98406982421875,0.8186240444753302,0.6929411764705883,1.0,0.6929411764705883
4,ISIC_0010061.jpg,0.993011474609375,0.9582116788321168,0.9197757926081626,0.9231715893108298,0.9960166919575114
5,ISIC_0014823.jpg,0.983978271484375,0.9122220364487543,0.8386105133722718,1.0,0.8386105133722718
6,ISIC_0014077.jpg,0.844757080078125,0.7145982944344704,0.5559338309109162,0.5562494541007948,0.9989803921568627
7,ISIC_0014707.jpg,0.605316162109375,0.34460041554755994,0.208167513622727,1.0,0.208167513622727
8,ISIC_0014586.jpg,0.8929595947265625,0.805263304000222,0.6740090152888145,0.9934927049797931,0.6769977595220313
9,ISIC_0015243.jpg,0.7956390380859375,0.8219465826453423,0.6977158849817181,0.7127409388545606,0.9706722768235626
10,ISIC_0013034.jpg,0.8126983642578125,0.44434385043682956,0.2856311470639586,1.0,0.2856311470639586
11,ISIC_0015485.jpg,0.96630859375,0.9722012388578335,0.9459062178450683,0.9533568730092101,0.9918055948007912
12,ISIC_0014458.jpg,0.973052978515625,0.6659099508134696,0.499149177538287,1.0,0.499149177538287
13,ISIC_0013674.jpg,0.96697998046875,0.9221246581258097,0.8555021367521367,0.8997822880820282,0.9456048416857332
14,ISIC_0014955.jpg,0.9736328125,0.9008492081707598,0.819586552516183,0.9901614530776993,0.8263157894736842
15,ISIC_0000549.jpg,0.894927978515625,0.8914838628340898,0.8042136987859316,0.8152941515579512,0.983381427528422
16,ISIC_0013213.jpg,0.9843292236328125,0.8638833664678596,0.7603826411572562,0.9144219977553311,0.8186385330319015
17,ISIC_0014136.jpg,0.70928955078125,0.28278873663604875,0.16467905997895474,1.0,0.16467905997895474
18,ISIC_0015476.jpg,0.9776763916015625,0.9450103364029317,0.8957531708707425,0.9043884892086331,0.9894529712711531
19,ISIC_0000320.jpg,0.9741973876953125,0.9638574817791267,0.9302363958909196,0.9574115748800476,0.9703907729385436
20,ISIC_0007760.jpg,0.9703216552734375,0.8326017729580859,0.7132114420524919,1.0,0.7132114420524919
21,ISIC_0010073.jpg,0.853485107421875,0.6631586332701888,0.49606381862076204,0.49606381862076204,1.0
22,ISIC_0010595.jpg,0.9186553955078125,0.8871244362573842,0.7971461187214612,0.7971461187214612,1.0
23,ISIC_0013995.jpg,0.7271575927734375,0.24287589448278785,0.1382235288447636,1.0,0.1382235288447636
24,ISIC_0014273.jpg,0.9680938720703125,0.8752758723531165,0.7782138311412813,0.977224294086308,0.792589391811602
25,ISIC_0000046.jpg,0.882171630859375,0.8159324942791762,0.6890928856142046,0.6893704434688042,0.9994160583941606
26,ISIC_0000376.jpg,0.92913818359375,0.819369894982497,0.6940106740462542,0.6940106740462542,1.0
27,ISIC_0015293.jpg,0.9842529296875,0.9298913043478261,0.8689690198070086,0.9064900662251656,0.9545327754532775
28,ISIC_0013134.jpg,0.9667205810546875,0.6599095587088726,0.49243658366302073,0.8769167012018234,0.529
29,ISIC_0012670.jpg,0.8000030517578125,0.2153846153846154,0.1206896551724138,0.9819868995633187,0.12095743965575204
30,ISIC_0000099.jpg,0.9168853759765625,0.8957970654066153,0.8112612612612613,0.8969123505976095,0.8946845504222554
31,ISIC_0015638.jpg,0.8949737548828125,0.7984657277545164,0.6645384540403548,0.9685324619974428,0.6792029887920299
32,ISIC_0015130.jpg,0.9532928466796875,0.9324595662055118,0.8734653383489728,1.0,0.8734653383489728
33,ISIC_0014832.jpg,0.9018707275390625,0.8445905125540708,0.7309880364761985,0.9997139588100686,0.731140956445337
34,ISIC_0016025.jpg,0.9348602294921875,0.8308972073677955,0.7107135596665989,0.7107135596665989,1.0
35,ISIC_0012902.jpg,0.9140777587890625,0.6355103890219432,0.4657495256166983,0.46935653504159097,0.9837675350701403
36,ISIC_0010216.jpg,0.9881439208984375,0.947425400906692,0.9001028542041656,0.9232493735988395,0.9729016120066704
37,ISIC_0012988.jpg,0.9966583251953125,0.9419560031804931,0.8902805611222445,0.947228144989339,0.9367422245651028
38,ISIC_0013200.jpg,0.985748291015625,0.8465330266184686,0.7339031339031339,1.0,0.7339031339031339
39,ISIC_0014957.jpg,0.950286865234375,0.9232798003108369,0.8574927827836585,0.8592969229420532,0.9975575005088541
40,ISIC_0012708.jpg,0.9864959716796875,0.9034791144072417,0.8239506664014322,0.9734430082256169,0.8428978428978429
41,ISIC_0014846.jpg,0.98638916015625,0.9876611519946882,0.9756230870135548,0.9966499162479062,0.9788330774292608
42,ISIC_0014936.jpg,0.9771270751953125,0.943631782799985,0.8932792254022498,0.935226595110316,0.952189420960765
