epoch,dice_coef,loss,lr,precision,recall,val_dice_coef,val_loss,val_precision,val_recall
0,0.5693603754043579,0.43111228942871094,1e-05,0.9787924289703369,0.6833509802818298,0.3336077332496643,0.6661291122436523,0.1393739879131317,0.28377190232276917
1,0.6076635718345642,0.39139115810394287,1e-05,0.9852370023727417,0.7325775623321533,0.3328428864479065,0.6671627163887024,0.10087063908576965,0.12235360592603683
2,0.6331567168235779,0.365984708070755,1e-05,0.9884721636772156,0.7487372756004333,0.3321421444416046,0.6673228740692139,0.12978848814964294,0.10686223208904266
3,0.6466464996337891,0.3530254662036896,1e-05,0.9907609224319458,0.7470542192459106,0.33284708857536316,0.6674610376358032,0.17579130828380585,0.13772816956043243
4,0.6600877046585083,0.33945581316947937,1e-05,0.9923314452171326,0.7535607814788818,0.3316759765148163,0.6678931713104248,0.20795254409313202,0.1794060617685318
5,0.6654333472251892,0.3324491083621979,1e-05,0.9929986596107483,0.7458211183547974,0.33176523447036743,0.6678457856178284,0.22993971407413483,0.20659202337265015
6,0.6777773499488831,0.32234328985214233,1e-06,0.9932221174240112,0.7432333827018738,0.33212241530418396,0.6678807139396667,0.2398795783519745,0.21911713480949402
7,0.676568865776062,0.3237001597881317,1e-06,0.9931560158729553,0.7374034523963928,0.3335573971271515,0.6666690707206726,0.23033864796161652,0.23213264346122742
8,0.6792731285095215,0.32490599155426025,1e-06,0.9933341145515442,0.7439303398132324,0.33231091499328613,0.66708904504776,0.23638871312141418,0.2588949501514435
9,0.6726354956626892,0.3249244689941406,1e-06,0.9933047294616699,0.7382373809814453,0.3344763517379761,0.6657613515853882,0.2524195611476898,0.30361244082450867
