epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.2098836451768875,0.11764384806156158,0.7901163101196289,1e-04,0.31079861521720886,0.6631363034248352,0.1493648737668991,0.08073650300502777,0.8506351709365845,0.04536022990942001,0.052003324031829834
1,0.29010647535324097,0.16988956928253174,0.7098935842514038,1e-04,0.3994854986667633,0.7063222527503967,0.14845576882362366,0.08020562678575516,0.851544201374054,0.02851916290819645,0.001463937689550221
2,0.36095061898231506,0.2205219566822052,0.6390494108200073,1e-04,0.5753198266029358,0.5459080934524536,0.14637510478496552,0.07899196445941925,0.8536249399185181,0.0,0.0
3,0.4303935468196869,0.2745782732963562,0.5696064233779907,1e-04,0.7018292546272278,0.5074329376220703,0.1434047967195511,0.07726403325796127,0.8565952181816101,0.0,0.0
4,0.4780563414096832,0.3144955039024353,0.5219436287879944,1e-04,0.7717573046684265,0.4850161373615265,0.1397232711315155,0.07513019442558289,0.8602768182754517,0.0,0.0
5,0.5093008279800415,0.3420375883579254,0.4906992018222809,1e-04,0.8110902905464172,0.46779754757881165,0.13509246706962585,0.07245837152004242,0.8649075627326965,0.0,0.0
6,0.5224393606185913,0.3540562093257904,0.4775606691837311,1e-05,0.8181670308113098,0.4665032625198364,0.13167306780815125,0.07049408555030823,0.8683269619941711,0.0,0.0
7,0.5292167067527771,0.3602358400821686,0.4707832932472229,1e-05,0.834216833114624,0.4660167694091797,0.12831102311611176,0.06856978684663773,0.871688961982727,0.0,0.0
8,0.5329471230506897,0.36371833086013794,0.4670528769493103,1e-05,0.8346097469329834,0.4710589647293091,0.12486378848552704,0.06660394370555878,0.8751361966133118,0.0,0.0
9,0.5366522073745728,0.36715975403785706,0.46334776282310486,1e-05,0.842792272567749,0.468670517206192,0.12141267955303192,0.06464322656393051,0.8785873651504517,0.0,0.0
10,0.5399857759475708,0.3702617287635803,0.4600142538547516,1e-05,0.8465349674224854,0.46956366300582886,0.11802397668361664,0.06272506713867188,0.8819760084152222,0.0,0.0
